weather_code,weather_code_desc,created,updated
56,"Drizzle, freezing, slight",2024-11-30 23:38:01,2024-11-30 23:38:01
57,"Drizzle, freezing, moderate or heavy (dense)",2024-11-30 23:38:01,2024-11-30 23:38:01
58,"Rain and drizzle, slight",2024-11-30 23:38:01,2024-11-30 23:38:01
59,"Rain and drizzle, moderate or heavy",2024-11-30 23:38:01,2024-11-30 23:38:01
60,"Rain, not freezing, intermittent, slight at time of ob.",2024-11-30 23:38:01,2024-11-30 23:38:01
61,"Rain, not freezing, continuous, slight at time of ob.",2024-11-30 23:38:01,2024-11-30 23:38:01
62,"Rain, not freezing, intermittent, moderate at time of ob.",2024-11-30 23:38:01,2024-11-30 23:38:01
63,"Rain, not freezing, continuous, moderate at time of ob.",2024-11-30 23:38:01,2024-11-30 23:38:01
64,"Rain, not freezing, intermittent, heavy at time of ob.",2024-11-30 23:38:01,2024-11-30 23:38:01
65,"Rain, not freezing, continuous, heavy at time of ob.",2024-11-30 23:38:01,2024-11-30 23:38:01
66,"Rain, freezing, slight",2024-11-30 23:38:01,2024-11-30 23:38:01
67,"Rain, freezing, moderate or heavy",2024-11-30 23:38:01,2024-11-30 23:38:01
68,"Rain or drizzle and snow, slight",2024-11-30 23:38:01,2024-11-30 23:38:01
69,"Rain or drizzle and snow, moderate or heavy",2024-11-30 23:38:01,2024-11-30 23:38:01
70,"Intermittent fall of snowflakes, slight at time of ob.",2024-11-30 23:38:01,2024-11-30 23:38:01
71,"Continuous fall of snowflakes, slight at time of ob.",2024-11-30 23:38:01,2024-11-30 23:38:01
72,"Intermittent fall of snowflakes, moderate at time of ob.",2024-11-30 23:38:01,2024-11-30 23:38:01
73,"Continuous fall of snowflakes, moderate at time of ob.",2024-11-30 23:38:01,2024-11-30 23:38:01
74,"Intermittent fall of snowflakes, heavy at time of ob.",2024-11-30 23:38:01,2024-11-30 23:38:01
75,"Continuous fall of snowflakes, heavy at time of ob.",2024-11-30 23:38:01,2024-11-30 23:38:01
76,Diamond dust (with or without fog),2024-11-30 23:38:01,2024-11-30 23:38:01
77,Snow grains (with or without fog),2024-11-30 23:38:01,2024-11-30 23:38:01
78,Isolated star-like snow crystals (with or without fog),2024-11-30 23:38:01,2024-11-30 23:38:01
79,Ice pellets,2024-11-30 23:38:01,2024-11-30 23:38:01
80,"Rain shower(s), slight",2024-11-30 23:38:01,2024-11-30 23:38:01
81,"Rain shower(s), moderate or heavy",2024-11-30 23:38:01,2024-11-30 23:38:01
82,"Rain shower(s), violent",2024-11-30 23:38:01,2024-11-30 23:38:01
83,"Shower(s) of rain and snow, slight",2024-11-30 23:38:01,2024-11-30 23:38:01
84,"Shower(s) of rain and snow, moderate or heavy",2024-11-30 23:38:01,2024-11-30 23:38:01
85,"Snow shower(s), slight",2024-11-30 23:38:01,2024-11-30 23:38:01
86,"Snow shower(s), moderate or heavy",2024-11-30 23:38:01,2024-11-30 23:38:01
87,"Shower(s) of snow pellets or small hail, with or without rain or rain and snow mixed - slight",2024-11-30 23:38:01,2024-11-30 23:38:01
88,"Shower(s) of snow pellets or small hail, with or without rain or rain and snow mixed - moderate or heavy",2024-11-30 23:38:01,2024-11-30 23:38:01
89,"Shower(s) of hail, with or without rain or rain and snow mixed, not associated with thunder - slight",2024-11-30 23:38:01,2024-11-30 23:38:01
90,"Shower(s) of hail, with or without rain or rain and snow mixed, not associated with thunder - moderate or heavy",2024-11-30 23:38:01,2024-11-30 23:38:01
91,Slight rain at time of observation - Thunderstorm during the preceding hour but not at time of observation,2024-11-30 23:38:01,2024-11-30 23:38:01
92,Moderate or heavy rain at time of observation - Thunderstorm during the preceding hour but not at time of observation,2024-11-30 23:38:01,2024-11-30 23:38:01
93,"Slight snow, or rain and snow mixed or hail at time of observation - Thunderstorm during the preceding hour but not at time of observation",2024-11-30 23:38:01,2024-11-30 23:38:01
94,"Moderate or heavy snow, or rain and snow mixed or hail at time of observation - Thunderstorm during the preceding hour but not at time of observation",2024-11-30 23:38:01,2024-11-30 23:38:01
95,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation",2024-11-30 23:38:01,2024-11-30 23:38:01
96,"Thunderstorm, slight or moderate, with hail at time of ob.",2024-11-30 23:38:01,2024-11-30 23:38:01
97,"Thunderstorm, heavy, without hail, but with rain and/or snow at time of observation",2024-11-30 23:38:01,2024-11-30 23:38:01
98,Thunderstorm combined with dust/sandstorm at time of observation,2024-11-30 23:38:01,2024-11-30 23:38:01
99,"Thunderstorm, heavy with hail at time of observation",2024-11-30 23:38:01,2024-11-30 23:38:01
